"barrio","total","nac_87","nac_88","nac_89","nac_90","nac_91","nac_92","nac_93","nac_94","nac_95","nac_96","nac_97","nac_98","nac_99","nac_00","nac_01","nac_02","nac_03","nac_04","nac_05","nac_06","nac_07","nac_08","nac_09","nac_10","nac_11","nac_12","nac_13","nac_14","nac_15","nac_16","nac_17"
"San Pascual","14","0","0","0","0","0","1","2","1","1","2","0","0","0","0","1","0","1","0","0","0","0","1","0","2","0","0","0","1","1","0","0"
"Cañaverales - Los Samanes","14","0","2","0","1","0","1","3","1","0","2","0","0","0","1","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0"
"El Mortiñal","13","1","1","0","0","0","1","0","1","0","0","1","0","1","1","0","0","1","0","1","0","0","0","2","0","0","1","0","0","1","0","0"
"Torres de Comfandi","12","0","0","0","0","0","0","2","1","1","1","0","0","1","1","1","1","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0"
"Urbanización Colseguros","12","0","3","0","0","0","1","0","2","0","1","0","0","0","1","0","1","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0"
"Metropolitano del Norte","12","1","2","1","0","0","0","0","1","0","0","1","1","1","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
"Los Andes B - La Riviera","12","2","0","0","1","1","2","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0"
"Los Parques Barranquilla","11","0","0","1","1","1","0","0","2","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","2","0","0","0","0","0"
"San Pedro","11","0","0","1","2","0","1","0","1","1","0","0","1","1","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"Andalucía","11","0","1","1","0","1","1","1","1","0","0","0","0","0","2","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0"
"El Cedro","11","1","0","1","1","1","1","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0"
"Bella Suiza","10","0","0","0","0","1","1","0","0","0","1","0","0","0","0","2","0","0","0","0","0","1","0","0","0","1","0","0","0","2","1","0"
"Paseo de Los Almendros","8","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","2","1","0","1","0","0","0","0","0","0","0","1","0","0","0"
"San Nicolás","8","0","2","0","1","1","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Brisas de Los Alamos","8","2","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","1","0"
"San Antonio","7","0","0","0","0","2","1","0","0","0","0","2","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Navarro - La Chanca","7","0","0","1","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0"
"Los Andes","7","1","0","0","1","2","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"San Cayetano","6","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","1","1","0","0"
"Los Libertadores","5","0","0","0","0","1","0","1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"El Calvario","5","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0"
"El Verdal - Gonchelandia","5","0","1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Cascajal","4","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0"
"La Playa","4","0","0","0","1","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"San Juan Bosco","4","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Las Vegas","4","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"Villa del Sol","4","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chiminangos I","4","1","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Champagnat","4","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"La Luisa","3","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"La Paz","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0"
"Chiminangos II","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"PP1","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"El Piloto","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Ciudad Meléndez 2","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"PP4-PP5","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Santa Rosa","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Zonamérica","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"El Hoyo","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
