"seccion_censal","nac_87","nac_88","nac_89","nac_90","nac_91","nac_92","nac_93","nac_94","nac_95","nac_96","nac_97","nac_98","nac_99","nac_00","nac_01","nac_02","nac_03","nac_04","nac_05","nac_06","nac_07","nac_08","nac_09","nac_10","nac_11","nac_12","nac_13","nac_14","nac_15","nac_16","nac_17"
"76001100000000171901","13","13","13","17","22","25","20","14","17","21","14","10","11","10","13","16","10","7","12","8","4","6","9","8","4","16","7","8","9","6","5"
"76001100000000173102","13","17","13","21","21","13","33","15","20","13","14","7","8","16","13","8","12","10","11","5","6","9","15","9","10","9","4","5","7","7","7"
"76001100000000173501","13","19","14","14","22","12","29","14","30","16","15","20","15","16","20","16","16","16","11","11","13","9","14","7","9","14","8","19","5","10","5"
"76001100000000171605","12","11","14","11","19","14","18","15","8","13","11","17","14","9","5","18","4","7","5","7","4","6","3","9","10","9","8","4","7","2","8"
"76001100000000171609","12","16","18","19","18","18","12","20","11","4","18","6","15","10","7","5","4","7","6","11","10","15","10","10","22","8","7","8","7","5","5"
"76001100000000191502","12","16","23","17","19","25","19","19","12","26","22","17","22","14","11","13","10","13","9","5","12","9","4","12","10","7","5","12","6","4","4"
"76001100000000020701","12","18","12","12","11","8","8","8","8","7","8","8","5","3","5","6","2","5","2","2","6","2","0","3","4","4","3","3","1","2","3"
"76001100000000021701","12","18","18","20","19","18","16","14","14","21","18","13","18","19","14","9","13","14","17","9","11","5","7","10","14","8","13","12","7","7","6"
"76001100000000172503","12","25","16","17","17","17","29","11","18","15","15","8","11","7","9","9","8","2","6","10","12","7","0","9","6","6","7","3","3","7","7"
"76001100000000173201","12","30","14","15","11","17","22","14","13","14","8","14","16","9","10","6","6","11","10","11","11","6","10","13","6","7","11","7","11","6","9"
"76001100000000020103","11","12","12","11","12","11","16","5","10","5","6","9","12","8","11","5","6","7","4","12","7","4","3","4","5","6","5","4","8","2","6"
"76001100000000194401","11","19","13","7","14","2","9","11","12","11","15","13","11","7","4","11","7","7","6","12","9","7","11","15","15","9","7","19","12","14","18"
"76001100000000170901","11","22","23","22","20","25","17","24","32","28","24","31","23","28","21","17","17","16","17","20","18","15","14","16","9","11","17","10","13","3","8"
"76001100000000191401","10","7","4","9","11","11","14","9","16","18","14","6","12","11","10","8","6","7","7","9","9","6","5","5","6","5","3","3","13","7","7"
"76001100000000194201","10","11","16","5","5","7","8","14","7","14","4","8","4","11","7","1","8","8","3","6","4","2","3","4","5","0","3","3","3","1","4"
"76001100000000171402","10","15","11","13","10","16","13","14","16","15","12","16","16","10","3","0","4","3","2","2","7","3","2","4","1","0","3","3","1","2","1"
"76001100000000171608","10","22","14","16","11","21","19","22","21","22","21","32","17","14","15","11","13","12","15","10","18","11","17","6","14","12","10","18","4","13","7"
"76001100000000192202","9","4","3","10","2","5","5","5","6","4","11","11","1","4","7","1","7","3","5","3","7","5","1","3","4","4","4","4","6","5","1"
"76001100000000193202","9","9","8","11","8","15","3","7","10","4","9","5","6","3","3","0","5","3","3","4","3","2","3","4","0","3","2","2","3","3","1"
"76001100000000191201","9","12","4","10","6","8","8","15","15","10","16","9","9","8","6","7","5","3","3","1","3","4","5","5","3","3","1","5","3","3","2"
"76001100000000020201","9","15","11","10","18","14","13","9","11","10","13","15","4","6","10","12","7","9","10","9","5","10","3","5","4","4","5","5","3","5","8"
"76001100000000021102","9","17","8","9","8","15","10","11","8","8","8","7","13","7","3","11","8","7","9","7","4","4","5","2","5","5","4","4","6","5","2"
"76001100000000170401","8","6","3","10","7","8","10","10","6","17","20","8","14","14","9","8","16","13","9","12","5","6","12","12","8","4","4","6","4","1","4"
"76001100000000172504","8","6","5","7","8","7","15","1","8","5","7","10","4","3","4","2","2","3","1","9","3","1","2","0","2","5","6","0","2","5","3"
"76001100000000020602","8","7","6","7","6","5","3","5","9","5","3","2","4","7","2","4","6","4","2","6","6","1","4","5","6","5","5","4","3","4","1"
"76001100000000021302","8","8","7","15","8","8","10","6","8","13","12","9","12","6","14","7","7","6","5","5","4","2","5","8","1","4","3","2","4","5","2"
"76001100000000173401","8","9","5","11","7","9","10","9","9","14","4","9","3","9","4","4","7","8","5","8","8","4","7","3","5","3","3","2","1","8","3"
"76001100000000020101","8","9","8","5","9","7","10","16","8","6","9","5","3","9","6","6","6","2","6","3","5","6","7","7","7","1","6","8","5","5","4"
"76001100000000171504","8","9","10","16","16","12","22","14","21","11","21","13","11","12","4","4","10","3","6","8","5","8","6","8","5","3","8","3","9","5","4"
"76001100000000190401","8","12","11","13","9","11","9","10","12","14","10","6","8","8","6","5","9","3","3","5","6","6","7","2","7","6","5","5","2","6","5"
"76001100000000170404","7","2","5","3","8","11","6","8","8","9","13","10","9","7","9","16","3","12","9","12","10","8","7","9","8","7","7","5","0","3","6"
"76001100000000021304","7","5","6","9","7","5","6","6","4","6","6","3","7","2","3","3","4","5","6","1","1","3","2","1","3","2","3","3","2","5","0"
"76001100000000021101","7","7","4","2","4","2","2","3","5","3","1","4","2","1","1","2","4","2","0","4","1","6","1","0","3","7","2","0","3","3","2"
"76001100000000192901","7","7","7","3","5","3","3","7","6","3","3","5","6","4","3","6","2","3","1","1","1","2","0","3","2","0","1","1","1","2","1"
"76001100000000171801","7","9","1","5","6","15","10","11","17","14","6","9","6","5","6","7","8","8","6","4","10","6","5","7","8","4","2","4","7","3","3"
"76001100000000172102","7","9","13","12","13","14","7","9","11","9","7","7","6","6","13","5","3","5","3","4","4","8","7","3","11","4","10","10","5","5","3"
"76001100000000170301","7","10","19","17","11","17","22","22","16","27","20","15","15","23","16","20","14","23","14","14","12","17","10","18","10","9","4","6","7","8","7"
"76001100000000194001","7","14","8","9","11","4","12","9","13","6","10","4","8","4","4","8","4","6","2","7","2","5","7","2","8","2","7","4","3","5","3"
"76001100000000173101","7","16","15","7","12","13","7","8","10","12","10","5","8","10","3","4","10","3","9","5","7","9","4","4","6","5","8","4","6","6","3"
"76001100000000020601","6","1","2","4","2","2","1","4","4","1","1","1","3","1","0","1","0","0","2","1","3","2","2","2","0","1","0","0","2","1","0"
"76001100000000170403","6","2","6","6","5","3","7","7","10","9","9","13","12","12","14","11","5","10","7","5","8","4","7","3","3","6","4","1","5","5","4"
"76001100000000193201","6","2","7","7","7","5","7","6","8","8","3","9","4","3","7","5","3","4","1","3","2","2","1","2","2","2","2","4","1","1","2"
"76001100000000194004","6","4","3","9","9","4","7","8","5","3","2","6","5","0","2","2","3","1","5","1","1","1","2","3","3","1","3","2","2","1","1"
"76001100000000172301","6","5","4","6","5","6","2","5","4","5","8","4","5","4","3","5","4","1","3","4","11","3","6","8","2","2","6","6","5","4","2"
